입국자국가,국가코드,입국날짜,입국자수
일  본,130,201501,139632
일  본,130,201502,142587
일  본,130,201503,218932
일  본,130,201504,154402
일  본,130,201505,188420
일  본,130,201506,101206
일  본,130,201507,81748
일  본,130,201508,148632
일  본,130,201509,157313
일  본,130,201510,180348
일  본,130,201511,164685
일  본,130,201512,159877
일  본,130,201601,136884
일  본,130,201602,144493
일  본,130,201603,224328
일  본,130,201604,175283
일  본,130,201605,178735
일  본,130,201606,180192
일  본,130,201607,186194
일  본,130,201608,225456
일  본,130,201609,208759
일  본,130,201610,227149
일  본,130,201611,213211
일  본,130,201612,197209
일  본,130,201701,154862
일  본,130,201702,185032
일  본,130,201703,274478
일  본,130,201704,165748
일  본,130,201705,159379
일  본,130,201706,167785
일  본,130,201707,170634
일  본,130,201708,226735
일  본,130,201709,219968
일  본,130,201710,179661
일  본,130,201711,213460
일  본,130,201712,193705
일  본,130,201801,167083
일  본,130,201802,168241
일  본,130,201803,294476
일  본,130,201804,213853
일  본,130,201805,227230
일  본,130,201806,235293
일  본,130,201807,230512
일  본,130,201808,315025
일  본,130,201809,247847
일  본,130,201810,290468
일  본,130,201811,299978
일  본,130,201812,258521
일  본,130,201901,206526
일  본,130,201902,213200
일  본,130,201903,375119
일  본,130,201904,290092
일  본,130,201905,286273
일  본,130,201906,282476
일  본,130,201907,274830
일  본,130,201908,329652
일  본,130,201909,251119
일  본,130,201910,248541
일  본,130,201911,258522
일  본,130,201912,255356
일  본,130,202001,203969
일  본,130,202002,211199
일  본,130,202003,8347
일  본,130,202004,360
일  본,130,202005,413
일  본,130,202006,498
일  본,130,202007,755
일  본,130,202008,1275
일  본,130,202009,794
일  본,130,202010,927
일  본,130,202011,1254
일  본,130,202012,951
