입국자국가,국가코드,입국날짜,입국자수
중  국,112,201501,394345
중  국,112,201502,516787
중  국,112,201503,515130
중  국,112,201504,641610
중  국,112,201505,618083
중  국,112,201506,315095
중  국,112,201507,255632
중  국,112,201508,513275
중  국,112,201509,591242
중  국,112,201510,650174
중  국,112,201511,507579
중  국,112,201512,465218
중  국,112,201601,521981
중  국,112,201602,546408
중  국,112,201603,601671
중  국,112,201604,682318
중  국,112,201605,705844
중  국,112,201606,758534
중  국,112,201607,917519
중  국,112,201608,873771
중  국,112,201609,726266
중  국,112,201610,680918
중  국,112,201611,516956
중  국,112,201612,535536
중  국,112,201701,565243
중  국,112,201702,590790
중  국,112,201703,360782
중  국,112,201704,227811
중  국,112,201705,253359
중  국,112,201706,254930
중  국,112,201707,281263
중  국,112,201708,339388
중  국,112,201709,318682
중  국,112,201710,345384
중  국,112,201711,299247
중  국,112,201712,332474
중  국,112,201801,305127
중  국,112,201802,345341
중  국,112,201803,403413
중  국,112,201804,366604
중  국,112,201805,370222
중  국,112,201806,379891
중  국,112,201807,410337
중  국,112,201808,478140
중  국,112,201809,434595
중  국,112,201810,475307
중  국,112,201811,404256
중  국,112,201812,416279
중  국,112,201901,392814
중  국,112,201902,453379
중  국,112,201903,487623
중  국,112,201904,493250
중  국,112,201905,500413
중  국,112,201906,475007
중  국,112,201907,519132
중  국,112,201908,578112
중  국,112,201909,541350
중  국,112,201910,567695
중  국,112,201911,505369
중  국,112,201912,508877
중  국,112,202001,481681
중  국,112,202002,104086
중  국,112,202003,16595
중  국,112,202004,3935
중  국,112,202005,5124
중  국,112,202006,5051
중  국,112,202007,9738
중  국,112,202008,16275
중  국,112,202009,15307
중  국,112,202010,11477
중  국,112,202011,9174
중  국,112,202012,7987
